yaw,pitch,roll
0.15,0.41,0.15
0.22,0.81,-0.07
0.54,1.41,-0.5
1.53,2.45,-1.25
-0.79,-4.73,4.92
-5.03,-17.64,22.33
-7.56,-17.23,29.85
-8.63,4.43,20.12
0.72,42.68,1.67
42.3,72.29,-32.33
71.26,76.54,-80.07
66.48,73.76,-76.93
41.4,64.38,-49.11
15.94,43,-26.3
3.44,11.21,-10.59
5.15,-20.83,6.88
15.12,-44.84,36.66
22.89,-46.91,63.45
6.01,-20.47,28.73
10.73,24.87,5.53
27.84,53.52,-11.84
36.61,59.96,-22.8
29.88,52.03,-23.31
15.47,31.83,-14.4
6.9,3.6,-4.4
12.63,-26.14,8.04
23.85,-45.76,36.75
27.84,-47.24,55.02
15.3,-23.9,28.27
15.46,8.77,11.16
23.78,32.74,0.6
36.25,51.86,-12.78
38.1,55.24,-26.88
33.33,48.81,-29.24
28.34,41.83,-24.41
22.8,34.5,-19.57
20.7,28.81,-16.3
20.68,26.5,-13.94
19.99,25.33,-12.61
19.61,24.27,-11.54
19.87,25.17,-11.97
22.77,33.31,-16.98
22.42,36.08,-20.2
17.95,28.57,-17.42
10.45,6.22,-9.77
15.38,-27.77,2.65
39.59,-57.32,43.06
60.65,-125.25,98.53
57.39,-129.95,99.9
23.84,-18.84,25.63
31.61,31.83,0.17
45.46,56.09,-19.06
49.26,61.59,-34.74
45.44,58.47,-36.05
32.66,44.78,-24.48
19.71,20.74,-12.21
18.13,-9.21,-1.23
29.02,-39.27,16.05
44.75,-55.45,36.21
51.01,-58.86,64.86
47.94,-55.31,69.67
30.34,-28.91,26.1
29.62,10.41,4.21
35.66,34.26,-8.87
42.99,48.79,-21.08
44.43,53.48,-32.03
43.18,52.56,-36.21
40.68,48.91,-34.37
30.1,35.93,-24.15
20.03,5.59,-8.68
23.91,-25.18,6.78
29.42,-38.87,23.25
26.79,-32.78,25.42
24.44,-25.61,26.54
23.56,-20.21,22.55
23.95,-13.17,13.12
27.89,-12.73,10.48
28.39,-15.52,16.5
29.58,-18.26,19.82
29.27,-16.01,19.26
28.61,-15.71,19.82
