yaw,pitch,roll
-0.37,1.16,-1.03
-1.4,1.87,-2.33
-2.9,2.14,-1.83
-4.02,0.79,-1.43
-4.49,-0.55,-0.69
-4.17,-0.43,-3.25
-0.13,-4.84,-3.13
1.86,-11.94,6.21
5.45,-24.13,25.89
2.46,-20.85,35.33
-7.56,-2.49,25.6
-20.8,22.96,5.67
-30.72,36.59,-24.38
-41.35,49.01,-59.17
-28.77,47.43,-83.24
115.45,134.72,-94.65
122.24,136.03,-99.22
105.22,135.31,-100.61
74.44,131.91,-96.13
15.43,51.34,-69.45
-0.82,17.65,-16.7
9.16,-37.84,10.04
34.25,-60.41,49.54
14.14,-44.18,38.52
-8.75,5.59,7.06
-6.74,49.04,-30.41
7.27,55.89,-58.67
7.15,49.88,-58.08
-9.07,23.31,-31.09
-12.54,-16.67,-16.37
-8.91,-50.18,-4.12
15.95,-73.47,30.92
63.73,-72.17,83.77
99.35,-115.93,113.61
101.91,-120.77,116.35
3.37,-26.33,22.3
-1.71,23.63,-0.69
3.92,51.36,-22.13
23.71,63.77,-58.57
32.7,61.24,-72.07
16.08,55.2,-57.13
1.74,38.14,-33.81
-5.57,-0.54,-15.31
-7.15,-42.71,-3.79
52.21,-77.14,65.67
127.48,-130.36,148.9
110.39,-128.27,139.49
12.92,-23.69,20.95
7.88,18.17,1.86
14.3,47.59,-20.73
31.76,60.02,-54.94
28.47,55.5,-58.97
17.5,46,-49.15
6.16,24.4,-30.84
-0.36,-16.95,-12.32
5.6,-37.77,-2.25
28.35,-51.27,11.27
40.47,-53.7,35.54
23.64,-26.68,30.65
9.1,16.71,17.58
13.51,57.81,-25.05
41.9,59.61,-78.16
54.4,126.18,-90.35
55.48,129.7,-93.14
42.17,51.7,-82.28
32.01,51.82,-68.45
28.72,50.75,-59.89
29.17,49.95,-61.14
24.62,49.08,-55.58
19.4,47.47,-50.64
18.23,46.49,-51.88
17.82,45.78,-51.29
17.69,44.64,-50.01
17.73,42.96,-47.2
18.46,39.56,-42.96
19.61,35.36,-37.17
19.63,33.63,-33.16
18.94,-2.49,-10.28
56.95,-67.72,28.65
80.54,-113.57,121.52
36.3,-46.23,36.04
15.43,20.78,-1.45
24.28,52.72,-38.85
23.48,50.34,-48.24
12.18,33.29,-33.84
4.83,-4.03,-16.16
13.68,-43.83,-9.27
35.76,-62.47,-9.17
82.56,-85.75,55.38
102.55,-115.32,153.74
103.33,-132.72,155.03
94.3,-131.86,146.7
51.3,-59.91,49.26
28.35,7.31,4.99
32.98,41.43,-12.34
39.68,55.92,-33.56
44.4,59.37,-53
41.86,56.15,-55.63
34.86,49.32,-48.21
26.09,36.23,-35.56
20.48,-6.33,-16.04
33.89,-44.43,-7.42
69.89,-77.26,13.4
95.77,-120.94,151.97
90.31,-137.89,153.93
53.75,-55.4,37.27
36.81,9.47,0.19
38.69,34.7,-15.28
43.09,49.48,-33.64
43.34,52.69,-45.15
39.32,49.79,-48.09
34.71,44.99,-46.55
31.57,41.02,-43.75
24.89,25.4,-32.22
24.92,26.47,-31.61
24.29,24.14,-28.62
22.75,19.42,-25.7
23.14,12.24,-19.48
24.32,11.45,-17.93
24.65,16.73,-18.74
24.78,27.76,-23.99
23.85,29.95,-26.48
21.11,18.48,-21.84
20.09,-15.37,-8.6
38.6,-54.39,8.21
54.93,-64.71,33.62
55.94,-59.85,31.47
58.55,-61.37,55.24
48.4,-48,51.91
35.08,-4.25,25.87
37.06,38.49,-1.71
