yaw,pitch,roll
0.02,-0.5,0.39
-0.1,-1.99,0.45
-0.1,-2.96,0.57
-0.29,-3.74,0.23
-0.54,-4.05,1.04
0.21,-13.74,-1.64
-2.29,-8.86,-7.29
-1.99,3.31,-17.26
0.41,16.93,-26.54
4.3,26.14,-34.23
6.15,30.65,-37.72
9.69,34.44,-40.21
11.32,35.27,-39.02
12.21,33.11,-33.15
11.68,21.68,-22.29
14.34,-6.68,-7.37
28.1,-45.74,7.37
49.8,-64.91,48.05
40.18,-56.25,43.95
9.37,-11.9,10.76
5.97,31.99,-15.81
11.21,45.83,-35.19
14.55,47.86,-44.36
12.42,44,-42.15
6.1,28.44,-29.6
5.26,19.93,-25.7
2.01,-8.7,-14.2
8.86,-36.99,-9.58
43.79,-69.35,2.18
90.2,-99.54,123.04
100.03,-114.58,147.01
74.4,-107.4,95.11
19.81,-8.78,7.48
18.34,37.37,-18.61
25.3,52.54,-45.01
24.47,50.86,-51.8
17.76,43.06,-45.08
9.76,23.99,-28.56
6.45,-9.45,-13.02
15.09,-36.41,-2.8
12.4,-13.97,-6.33
14.34,-4.55,-10.2
14.64,9.1,-18.84
16.94,20.18,-26.78
19.96,24.77,-29.81
23.08,27.91,-30.46
25.81,28.81,-29.27
28.64,30.32,-29.11
30.09,28.51,-26.88
31.57,24.39,-22.19
32.87,21.76,-19.93
37.09,-1.1,-10.86
54.93,-47.37,8.53
76.77,-110.16,118.93
61.14,-62.93,57.2
36.91,-0.27,10.24
40.53,45.79,-19.58
44.04,53.95,-41.1
36.54,42.6,-35.55
29.4,12.28,-18.86
30.42,-11.28,-12.51
40.68,-27.52,-8.15
65.86,-58.66,3.87
75.5,-76.01,41.99
75.19,-75.2,89.87
54.89,-37.73,18.54
46.49,-9.24,2.72
65.44,-63.07,16.46
81.57,-101.52,114.26
77.79,-108.45,124.97
51.82,-7.84,9.21
48.24,33.87,-14.64
48.35,49.35,-36.86
44.53,47.73,-45.04
39.1,37.13,-37.52
35.96,22.24,-26.71
37.01,2.48,-18.94
49.4,-31.31,-9.04
53.17,-31.09,-5.98
44.83,1.5,-13.7
45.32,16.44,-21.7
45.03,22.2,-28.79
46.19,24.82,-31.2
48.43,23.9,-28.81
50.88,22.9,-26.34
53.03,22.9,-26.11
58.18,22.37,-23.14
61.83,20.7,-21.21
64.63,16.48,-19.65
71.86,-5.18,-10.24
81.53,-53.13,11.61
72.14,-107.6,100.35
71.58,-46.72,32.17
68.75,21.24,-0.52
63.75,50.67,-29.17
59.28,41.43,-29.97
58.8,12.84,-16.55
66.42,-23.63,-7.95
72.63,-35.3,-6.18
86.03,-59.53,-2.68
82.34,-98.37,117.57
75.23,-109.43,140.84
78.31,-54.3,28.4
81.5,-13.36,9.02
75.36,29.82,-9.9
67.65,50.03,-31.1
62.01,51.79,-42.97
59,46.4,-41.8
58.72,39.94,-36.59
62.73,14.64,-21.36
73.01,-22.51,-8.19
79.06,-44.69,3.88
77.22,-14.43,-2.22
77.34,-0.03,-9.74
74.13,12.52,-20.28
69.65,21.71,-28.61
70.34,24.37,-30.18
73.73,24.63,-28.28
77.15,24.49,-26.32
80.45,23.14,-25.21
83.79,21.14,-23.28
93.88,5.33,-14.78
103.57,-30.26,-3.08
95.27,-59.18,19.4
74.79,-70.42,76.17
91.37,-46.78,30.97
96.18,15.07,-0.06
82.77,44.82,-21.69
73.91,48.49,-38.25
74.56,36.44,-33.12
86.55,1.15,-14.37
93.47,-27.17,-8.39
99.17,-29.82,-12.43
105.12,-48.41,-9.45
96.81,-74.31,6.74
84.32,-81.73,70.71
81.35,-76.99,71.36
88.64,-69.16,43.08
104.66,-41.52,17.5
108.61,2.15,1.85
92.07,41.88,-18.63
76.96,56.28,-43.3
68.53,54.3,-55.27
68.44,48.54,-50.79
73.25,40.08,-42.19
93.35,7.74,-22.65
101.27,-21.19,-10.67
102.94,-18.22,-4.5
104.24,1.21,-8.41
101.41,13.95,-17.15
100.7,18.58,-21.79
102.73,19.01,-21.92
106.06,17.6,-20.48
108.44,17.03,-20.45
109.06,17.59,-20.43
108.95,16.9,-19.21
111.57,15.6,-18.07
113.81,13.6,-16.97
114.77,13.61,-17
116.41,13.71,-15.89
117.24,14.17,-15.56
117.85,14.16,-15.43
123.68,7.04,-11.17
131.15,-5.48,-7.76
136.39,-25.04,-3.71
120.04,-60.93,22.27
101.18,-63.52,53.26
129.24,-5.41,12.01
107.67,47.88,-16.24
86.63,60.36,-47.01
88.31,51.19,-45.01
107.16,29.54,-27.64
119.27,-9.03,-12.34
122.26,-29.79,-6.92
130.48,-36.33,-8.07
126.86,-55.88,4.3
122.87,-65.1,25.3
122.13,-66.08,39.35
128.1,-59.33,34.43
124.52,-55.97,30.42
120.61,-49.96,16.69
109.1,-65.12,24.65
78.56,-73.06,80.97
120.78,-53.72,33.89
131.93,13.04,1.42
105.52,52.74,-31.19
81.27,59.71,-61.63
71.52,55.69,-70.67
82.52,49.49,-58.31
114.44,27.42,-31.2
129.2,-12.26,-12.89
132.89,-6.9,-10.23
132.93,15.26,-17.59
134,21.14,-22.25
130.94,29.77,-30.93
131.64,32.7,-32.71
134.36,32.54,-30.04
138.19,28.42,-24.35
141.49,27.78,-23.6
141.31,28.35,-23.7
139.52,28.49,-23.31
141.15,27.5,-22.85
143.65,26.32,-21.27
146.01,24.9,-19.82
149.16,22.89,-18.36
153.36,15.62,-15.82
156.21,12.99,-13.65
158.45,17.63,-15.66
162.1,15.67,-15.82
164.31,4.06,-11.99
169.71,-32.18,3.06
-149.82,-75.48,54.52
-67.33,-109.93,115.34
171.91,-37.93,26.86
153.69,28.49,-4.34
146.93,50.47,-23.91
141.47,53.12,-37.01
143.14,45.83,-36.62
150.23,21.86,-20.98
153.52,-16.87,-10.08
155.45,-31.33,-9.11
165.05,-45.88,-7.9
-176.44,-68.21,11.65
-132.61,-72.52,59.92
-119.61,-69.58,79.65
-145.61,-62.68,57.42
177.82,-21.19,21.12
167.35,26.85,-2.79
162.58,54.01,-34.39
157.08,54.83,-53.43
159.21,48.61,-51.37
163.82,36.68,-38.16
162.69,-1.51,-13.49
166.13,-19.74,-7.11
169.07,-2.67,-9.9
171.8,15.04,-15.22
174.2,26.33,-23.88
175.85,30.71,-27.39
178.67,31.48,-26.71
-179.28,32.05,-25.7
179.9,29.07,-21.39
-178.71,28.28,-19.43
-177.29,27.62,-19.46
-175.38,29.55,-20.74
-172.65,33.24,-23.93
-169.92,36.25,-28
-169.47,35.84,-26.65
-171.1,32.43,-21.4
-170.07,30.86,-20.14
-169.04,29.68,-19.43
-167.46,30.37,-20.3
-166.01,30.76,-21.01
-163.76,31.29,-20.42
-160.57,32.72,-20.67
-158.22,33.62,-19.67
-156.89,34.42,-16.96
-154.99,35.72,-17.04
-153.32,35.29,-17.76
-151.98,34.13,-17.73
-151.16,32.39,-18.11
-151.52,27.02,-16
-150.36,3.46,-5.37
-141.03,-33.33,3.42
-105.02,-78.46,62.71
-84.37,-116.51,156.23
-105.12,-109.56,105.55
-155.93,-5.21,13.46
-155.07,44.95,-11.37
-146.85,57.3,-30.47
-150.22,53.62,-34.92
-160.28,37.71,-25.48
-164.38,9.98,-13.5
-164.79,12.07,-17.8
-166.67,6.92,-15.85
-165.14,-22.39,-7.06
-150.91,-39.76,-3.41
-123.93,-61.67,8.29
-103.42,-77.66,82.29
-105.64,-106.8,96.11
-119.16,-64.79,51.95
-146.3,-8.08,10.23
-147.89,39.24,-11.38
-144.37,53.53,-35.39
-150.8,47.61,-39.24
-159.53,29.97,-26.93
-160,-10.43,-7.12
-154.84,-15.44,-3.35
-153.03,9.48,-10.62
-151.42,17.45,-18.35
-150.44,24.74,-25.5
-147.55,30.45,-30.24
-145.17,33.34,-31.88
-142.51,36.13,-34.18
-140.73,38.33,-35.8
-137.56,37.73,-33.11
-134.48,33.89,-27.22
-129.58,29.26,-20.03
-126.21,17.95,-12.92
-118.28,-17.48,0.81
-104.91,-71.44,37.33
-113.34,-63.63,47.34
-130.75,3.47,8.13
-127.48,48.94,-18.08
-127.75,56.37,-42.08
-134.58,48.19,-39.16
-142.05,26.12,-21.85
-137.14,-17.59,-6.46
-129.44,-28.21,-6.63
-115.65,-42.12,0.24
-106.62,-64.63,23.35
-107.26,-72.93,77.31
-109.3,-109.83,98.6
-114.04,-58.74,42.56
-118.43,-48.47,28.55
-108.53,-72.66,59.23
-102.67,-116.88,137.12
-113.57,-66.5,70.9
-122.33,12.02,5.64
-122.26,49.22,-22.19
-123.02,57.88,-48.49
-128.56,53.01,-53.25
-134.31,40.43,-40.92
-135.33,12.06,-21.2
-129.91,-3.37,-13
-129.45,21.5,-20.61
-128.66,31.77,-30.65
-128.26,35.45,-36.32
-126.36,38.47,-36.75
-123.51,39.98,-35.13
-121.01,41.25,-34.84
-118.68,40.32,-33.17
-117.62,37.96,-31.06
-114.83,33.65,-26.53
-108.42,26.31,-18.62
-100.61,7.99,-9.52
-91.45,-19.73,-2.43
-94.38,-60.53,18.38
-108.44,-107.8,113.48
-106.97,-52.89,39.97
-102.24,24.19,-0.57
-110.42,53.31,-27.29
-115.75,46.57,-30.56
-115.04,21.46,-17.69
-109.62,-2.77,-8.39
-95.46,-56.19,2.54
-95.51,-96.7,134.3
-108.96,-123.17,165.14
-116.95,-128.81,162.48
-105.19,-71.22,71.15
-88.71,-21.53,12.02
-91.42,14.94,-3.07
-102.45,41.25,-20.64
-112.07,49.35,-37.18
-115.55,43.79,-36.99
-112.89,31.87,-27.88
-105.97,6.38,-13.83
-98.09,-20.26,-8.02
-96.67,-11.14,-7.68
-99.07,10.76,-14.28
-101.93,23.56,-23.51
-105.02,30.92,-31.21
-101.95,31.77,-30.59
-99.11,32.48,-29.04
-97.34,32.34,-27.85
-93.18,31.73,-24.93
-84.55,23.3,-19.14
-68.99,-10.88,-8.19
-94.94,-74.2,49.76
-116.19,-112.01,104.35
-88.86,-44.43,32.93
-81.32,-3.46,6.19
-88.68,31.16,-15.55
-103.09,52.12,-39.87
-114.02,53.98,-59.52
-110.23,46.61,-48.99
-98.79,32.96,-37.55
-77.89,-6.72,-16.78
-74.09,-17.01,-15.88
-73.39,-24.52,-12.86
-70.08,-29.88,-8.76
-73.28,-57.55,4.98
-101.11,-76.93,82.66
-140.57,-124.09,147.52
-147.06,-128.45,146.21
-65.44,-38.9,30.87
-57.93,4.76,11.1
-68.22,35.3,-5.09
-86.2,55.89,-28.11
-93.16,52.64,-38.55
-86.72,40.17,-32.33
-70.93,4.85,-12.97
-66.87,-15.43,-5.79
-64.33,-5.92,-7.77
-63.13,7.51,-11.79
-68.32,21.33,-21.93
-72.12,29.81,-28.75
-70.21,31.89,-28.54
-66.57,31.82,-27.09
-63.87,31.8,-26.01
-61.69,32.29,-25.53
-59.84,32.7,-25.13
-59.58,33.07,-25.07
-57.15,31.74,-23.46
-52.57,28.08,-19.92
-43.91,7.58,-8.99
-39.65,-33.63,8.12
-88.77,-74.09,71.86
-133.85,-110.97,106.55
-44.76,-44.4,36.61
-52.55,32.38,1.67
-68.98,51.97,-18.06
-77,53.53,-30.69
-73.16,45.46,-29.9
-60.63,23.82,-18.14
-54.18,-11.26,-5.44
-51.03,-23.75,-2.08
-49.53,-49.86,6.35
-76.2,-74.72,52.75
-131.92,-107.24,111.88
-55.52,-65.76,51.52
-35.94,3.07,6.14
-55.99,47.33,-17.03
-74.68,55.6,-39.03
-76.18,48.99,-41.72
-59.41,31.3,-24.58
-48.88,2.54,-11.12
-45.52,-10.22,-8.69
-42.41,6.48,-12.94
-43.96,25.59,-20.72
-44.8,30.1,-24.97
-44.15,32.1,-26.32
-42.63,32.92,-26.28
-40.77,33.6,-24.36
