time,name,yaw,pitch,roll
18892,ypr,0.09,-0.06,0.52
19004,ypr,0.08,-0.15,0.49
19116,ypr,-0.01,-0.13,0.47
19227,ypr,-0.1,-0.17,0.41
19339,ypr,-0.24,-0.59,0.34
19450,ypr,-3.14,-5.16,0.61
19563,ypr,-8.24,-10.67,2.07
19675,ypr,-12.62,-12.79,3.41
19786,ypr,-12.3,-12.38,3.1
19898,ypr,-14.31,-14.6,2.91
20009,ypr,-17.69,-20.02,2.73
20121,ypr,-18.25,-23.79,0.19
20234,ypr,-15.57,-21.56,0.23
20345,ypr,-12.71,-18.75,1.45
20457,yr,-11.72,-18.49,1.59
20569,ypr,-10.9,-18.33,2.19
20680,ypr,-10.72,-18.73,2.4
20792,ypr,-17.05,-25.94,3.96
20903,ypr,-42.89,-49.65,16.86
21016,ypr,-72.8,-54.92,36.7
21128,ypr,-103.91,-57.88,66.44
21239,ypr,-121.58,-53.52,83.22
21351,ypr,-128.92,-50.73,89.49
21463,ypr,-132.61,-130.85,92.43
21575,ypr,-133.3,-130.79,93.47
21687,ypr,-131.52,-129.93,92.1
21798,ypr,-130.37,-129.38,91.28
21910,ypr,-127.91,-127.4,90.65
22022,ypr,-120.04,-56.09,85.18
22133,ypr,-115.27,-57.17,81.36
22246,ypr,-107.16,-57.59,74.55
22358,ypr,-93.75,-57.72,65.79
22469,ypr,-39.5,-48.74,32.28
22581,ypr,-12.85,-25.31,12.15
22692,ypr,-7.34,-13.85,2.73
22804,ypr,-22.02,-39.25,1.04
22916,ypr,-73.54,-74.19,30.12
23028,ypr,-115.95,-107.36,120
23140,ypr,-128.28,-117.79,133.12
23251,ypr,-134.17,-125,135.27
23363,ypr,-137.61,-129.3,135
23475,ypr,-138.97,-130.94,133.01
23586,ypr,-137.14,-128.36,125.65
23698,ypr,-123.31,-119.67,97.71
23811,ypr,-52.29,-33.67,25.75
23922,ypr,-33.2,-10.59,21.66
24034,ypr,-22.94,5.2,19.94
24145,ypr,-16.43,19.74,16.86
24257,ypr,-7.68,31.04,14.08
24369,ypr,-0.31,33.61,11.1
24481,ypr,2.11,38.34,9.19
24593,ypr,5.72,40.19,8.55
24705,ypr,7.84,40.97,8.3
24816,ypr,8.96,40.96,8.13
24928,ypr,5.39,30.56,5.67
25040,ypr,-8.29,-31.46,6.54
25152,ypr,-88.55,-74.7,72.06
2564,ypr,-143.51,-121.38,131.49
25375,ypr,-150.1,-133.46,135.56
25487,ypr,-150.08,-138.56,134.67
25598,ypr,149.6,-140.74,133.82
25710,ypr,-147.34,-139.93,131.76
2823,ypr,-143.01,-134.4,124.69
25934,ypr,-141.47,-132.88,119.19
26046,ypr,-139.97,-131.87,118.59
26158,ypr,-136.7,-128.89,113.18
26269,ypr,-135.79,-128.59,114.2
26381,ypr,-134.62,-127.85,114.61
